createTime|dependencyTime|investorId|companyId|ratio
1669694056644|1661560614552|21990232555566|13194139533567|0.4294811750820677
1669717864809|1665818109196|21990232557492|14293651161883|0.14616983551160442
1669718524577|1667580695544|24189255811305|14293651161467|0.15849780173511924
1669727571506|1668540342601|10995116278692|14293651161744|0.16162633885820915
1669731670685|1669650572451|17592186045588|15393162789760|0.19261890712525778
1669734449614|1668541581222|17592186045586|14293651161649|0.14909939991311225
1669737664913|1669730634096|30786325579315|680|0.08283702887276477
1669749322415|1669103403242|24189255812163|14293651161232|0.22514694290070694
1669753007807|1669704115833|24189255812466|15393162789416|0.2508916157303661
1669757258565|1668121373753|17592186046121|14293651161892|0.14623813707874
1669759730857|1668682029836|28587302322800|7696581395140|0.23673880386307408
1669765317527|1668265168561|26388279066958|14293651161171|0.06148172389234238
1669770425178|1668961552368|2199023257238|14293651161291|0.02838203368968918
1669772642324|1648451266294|21990232555831|7696581395107|0.2168779394216571
1669781376234|1660153435074|26388279067287|13194139534228|0.016544836494994823
1669781750629|1668858816263|26388279067902|14293651161950|0.054112816040330566
1669786108321|1668613742025|28587302323701|807|0.21201690484596042
1669789174251|1665261324184|13194139535090|14293651161423|0.013383337137353487
1669793990319|1624510900998|15393162790423|5497558139031|0.16638723163887562
1669798594721|1664400488992|28587302323659|344|0.03331257988231763
1669798960128|1637456473000|4398046512051|9895604650341|0.08534017581191307
1669807531224|1657121362588|26388279066709|1099511627828|0.3056326804016471
1669809846041|1668040975822|24189255812830|14293651162055|0.05944077264479023
1669810211098|1633547595834|13194139533843|8796093022759|0.3859417815720812
1669814150964|1663620621092|13194139534268|14293651161722|0.25461395318455016
1669816864671|1665551897347|26388279067072|14293651161289|0.7651641312714683
1669821075373|1666048579371|24189255812065|14293651161675|0.35532172295565595
1669824799076|1664113201337|28587302322685|10995116278168|0.13677224455530904
1669828556603|1603331409525|6597069767513|3298534883537|0.13213589652125887
1669831629587|1657877297595|26388279068465|5497558139567|0.038891665581735256
1669832840654|1650505647126|24189255812517|10995116278582|0.04057090112663144
1669844166803|1615078697786|10995116279226|2199023256529|0.17555037197327059
1669844197678|1656957667254|19791209301939|13194139534124|0.13523235794201993
1669844971487|1655609509672|24189255812629|9895604650881|0.25381202721598983
1669849144917|1667337935880|28587302323303|10995116278697|0.239079141754882
1669851251885|1661221524663|19791209300634|13194139533448|0.013245787620388277
1669852629820|1653017895907|6597069768388|12094627906174|0.1968052277039557
1669853774002|1669819274403|10995116278719|15393162788918|0.27578378037442797
1669858949714|1658319166532|26388279067960|7696581395378|0.13035047589197263
1669862226478|1646804553495|17592186046275|10995116278390|0.1429693747393354
1669869397099|1664813483526|8796093024082|14293651161270|0.31983022349471246
1669869553518|1665347279275|28587302323492|2199023255711|0.0832983236825413
1669871492020|1645962535866|21990232556506|901|0.20256148789456183
1669872368714|1639613788550|19791209301772|7696581395365|0.0010832818263790296
1669872701792|1632417137081|15393162789262|8796093022700|0.3102865349867017
1669873672694|1611297327885|1675|5497558139002|0.19622851861743273
1669876086972|1660983370725|26388279068380|2199023255711|0.0500780885499311
1669876217298|1665818109196|19791209300686|14293651161883|0.08428474207754065
1669878675320|1610358174451|8796093023003|1099511627789|0.04824679964856554
1669879036488|1633942834014|13194139533426|8796093023206|0.17060359202131573
1669879395038|1653595223476|24189255812371|5497558139345|0.3013804749118761
1669881097350|1666313525532|28587302323495|1099511628468|0.39923203105723715
1669890939918|1667183143088|28587302322665|6597069767509|0.09653046464591668
1669892181965|1669505040102|17592186044852|15393162789401|0.26740566382049025
1669892467842|1661513144582|26388279068010|7696581395378|0.1340583600833807
1669894296234|1597894635371|6597069768244|1099511627838|0.18743215216160336
1669897451926|1665971176662|21990232556587|14293651161358|0.3476978852802905
1669898411651|1665719967142|28587302322459|6597069767500|0.19177665219951814
1669898858218|1666183711257|28587302323336|12094627906219|0.3432323785576646
1669899181919|1644038521268|4398046511816|10995116278200|0.08605387134885754
1669914303931|1637637653154|19791209301528|6597069766755|0.03777873119743764
1669925226949|1635195961852|17592186046157|2199023255980|0.2705314843538126
