createTime|dependencyTime|fromId|toId|startTime|endTime|TRUNCATION_LIMIT|TRUNCATION_ORDER
1669697735371|1650582526384|13194139533372|24189255812688|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1669735060128|1658309894719|26388279067883|21990232555909|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1669741770218|1667451096392|26388279068172|28587302322819|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1669754787957|1653404850286|24189255812886|4398046512984|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1669811957889|1667521195814|17592186045734|28587302322566|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1669835693958|1668773078798|17592186044464|28587302322731|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1669854869738|1655781996530|21990232555584|24189255812819|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1669908113315|1666075064631|21990232555555|28587302323421|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670136678835|1656689329331|1231|26388279067233|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670147802043|1662732943551|13194139533468|26388279066955|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670172705175|1620051650853|8796093022710|13194139534129|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670196769750|1658502842548|26388279067144|51|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670463072002|1670128533107|17592186045368|30786325579432|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670506548475|1651438479210|6597069767840|24189255812117|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670525265772|1612795538735|10995116278627|6597069767836|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670532430193|1660500354229|26388279067725|17592186044882|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670581729207|1638786102952|1637|19791209300945|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670651264942|1663415412191|28587302323692|15393162790644|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670662529765|1666015485254|28587302322571|26388279067598|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670736008932|1618827592609|8796093023624|13194139533693|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670759887125|1670128533107|2199023256266|30786325579432|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670845553901|1587437330088|2199023257425|2199023256963|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670862025810|1668773078798|28587302322731|26388279068065|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670897594524|1640638846921|15393162790591|19791209300955|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670913961317|1668483790823|28587302322689|26388279068610|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670931834703|1660903924990|26388279066733|26388279067741|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670991335175|1665747959038|2199023257173|28587302323090|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1670991462821|1670802532412|30786325579683|21990232556864|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671183125860|1648320700319|21990232557232|21990232556849|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671262901993|1664343539093|28587302323265|15393162788995|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671314654364|1669144389519|28587302322435|477|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671320876376|1666848430567|2199023256773|28587302322980|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671322837566|1611477186688|10995116278873|6597069767989|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671357146316|1648596036082|10995116278204|21990232556746|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671430824015|1664698753393|4398046511778|28587302323623|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671446617820|1667767875046|28587302322445|4398046512888|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671482624038|1669098925989|28587302323875|19791209300300|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671535019572|1646460167841|15393162790863|21990232557378|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671581343572|1668973740659|10995116278901|28587302323444|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671641678624|1662205380927|6597069766852|26388279067416|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671747717641|1669326672557|24189255811261|30786325578262|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671887894759|1671239752247|30786325579200|10995116279118|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671943527219|1665747959038|28587302323090|21990232557363|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1671996036031|1636886406375|6597069766773|19791209300869|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1672006170676|1670308469682|30786325578724|17592186045453|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1672149287738|1668682029836|28587302322800|10995116279580|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1672177012231|1670161835808|8796093023401|30786325578806|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1672213342236|1655812660409|8796093022495|24189255812452|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1672242749736|1668697572549|26388279067779|28587302323594|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1672245732917|1672186808656|6597069767827|30786325579254|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
1672252042322|1669144389519|4398046511696|28587302322435|1669697735371|1672496553063|1000|TIMESTAMP_ASCENDING
