loanId|loanAmount|balance|createTime
4616471093031471711|45962702.20357926|45962702.20357926|2020-01-18 14:29:50.692
4622945017495815822|60272945.550454184|60272945.550454184|2020-02-10 16:39:59.535
14918173765665479|20668539.881236784|20668539.881236784|2020-02-23 22:32:05.997
4630826316843714633|82914125.95362096|82914125.95362096|2020-03-09 22:03:27.616
4631389266797136117|32190445.431330144|32190445.431330144|2020-03-11 23:29:19.071
4633078116657399306|55086895.65167696|55086895.65167696|2020-03-17 03:42:26.733
4633359591634109273|14861627.49448115|14861627.49448115|2020-03-18 18:04:18.572
4634485491540953465|83344404.26327302|83344404.26327302|2020-03-22 07:39:33.947
23080948090273828|7606453.701503044|7606453.701503044|2020-03-23 19:22:07.859
24769797950538634|97319804.26203243|97319804.26203243|2020-03-29 05:23:47.689
4637300241308060295|52709122.970062464|52709122.970062464|2020-04-01 16:49:56.991
4637300241308058919|35113286.24540126|35113286.24540126|2020-04-01 18:35:45.761
4638989091168323203|8262234.127566062|8262234.127566062|2020-04-07 22:36:15.01
27584547717645517|91190899.45205669|91190899.45205669|2020-04-08 12:48:13.144
4640396466051875090|91222739.84548697|91222739.84548697|2020-04-12 15:04:42.489
4641803840935429482|49089548.97151587|49089548.97151587|2020-04-17 14:08:38.59
4643211215818981652|78985805.6519097|78985805.6519097|2020-04-22 17:40:36.504
4645181540655956113|91802883.37323782|91802883.37323782|2020-04-29 11:19:44.8
4646025965586088570|11791857.704616519|11791857.704616519|2020-05-02 15:48:11.928
36310271995674626|51050775.97345969|51050775.97345969|2020-05-09 16:14:12.138
36310271995674689|60637346.57779802|60637346.57779802|2020-05-09 21:18:17.636
4648277765399774365|5580274.257767416|5580274.257767416|2020-05-10 20:45:08.851
4649966615260039618|42616171.65560759|42616171.65560759|2020-05-16 04:06:35.154
4649966615260037582|4621556.677025831|4621556.677025831|2020-05-16 12:34:08.609
4650529565213459970|9780454.025316099|9780454.025316099|2020-05-19 01:45:49.195
4651373990143592574|38295381.63367375|38295381.63367375|2020-05-21 09:43:03.599
39969446692914457|51230232.48876192|51230232.48876192|2020-05-22 22:17:32.089
40813871623045419|36297765.72096966|36297765.72096966|2020-05-25 13:08:24.727
41658296553178095|68178812.80231485|68178812.80231485|2020-05-28 13:25:27.164
4653625789957276548|88337102.10806002|88337102.10806002|2020-05-29 03:27:53.699
4653625789957276512|99367365.77692418|99367365.77692418|2020-05-29 08:42:47.111
4654188739910698891|50058051.739327386|50058051.739327386|2020-05-31 03:35:28.9
4654188739910699571|81861605.63022262|81861605.63022262|2020-05-31 07:57:43.797
4654188739910698598|25162993.178080395|25162993.178080395|2020-05-31 18:56:17.718
4654188739910697745|67055652.233156145|67055652.233156145|2020-06-01 00:07:16.525
4654470214887409575|84444650.66281919|84444650.66281919|2020-06-01 23:25:24.379
4654751689864119732|17296044.53734528|17296044.53734528|2020-06-02 18:58:54.152
43347146413442318|37401336.47022512|37401336.47022512|2020-06-03 21:19:03.472
4655596114794251858|93059380.5137724|93059380.5137724|2020-06-05 19:01:16.152
4656159064747672175|40807195.483393125|40807195.483393125|2020-06-07 19:57:05.422
45035996273705071|10675283.278521257|10675283.278521257|2020-06-09 15:25:54.803
4657284964654516037|41533163.8525646|41533163.8525646|2020-06-11 22:23:17.059
4657566439631225257|61485629.37026797|61485629.37026797|2020-06-12 06:14:06.904
46724846133969475|65938661.79130835|65938661.79130835|2020-06-15 15:23:04.311
4658692339538069493|39764636.490282215|39764636.490282215|2020-06-16 08:16:11.105
4659255289491490439|85616556.34788866|85616556.34788866|2020-06-18 04:49:18.723
4659255289491491115|21713986.590335935|21713986.590335935|2020-06-19 01:19:03.605
4660662664375044370|37452476.96842699|37452476.96842699|2020-06-23 06:15:27.815
4660662664375042929|42981309.360652424|42981309.360652424|2020-06-23 08:39:41.532
4660944139351753688|58633145.59663949|58633145.59663949|2020-06-24 11:56:48.166
49821070877786797|66144299.98008715|66144299.98008715|2020-06-26 18:16:12.796
4662070039258596121|46507695.0438391|46507695.0438391|2020-06-28 16:42:39.119
50384020831208539|41004226.3902358|41004226.3902358|2020-06-29 03:28:08.405
51791395714761829|2995986.2366186273|2995986.2366186273|2020-07-03 21:18:59.568
52354345668183309|69737259.18513364|69737259.18513364|2020-07-05 20:01:48.579
4664884789025703244|46828569.40517747|46828569.40517747|2020-07-08 22:23:58.945
4666010688932545042|79774990.442694|79774990.442694|2020-07-12 15:59:49.575
4666573638885967391|54290305.15021864|54290305.15021864|2020-07-14 15:38:06.447
55450570412000236|86970464.26162389|86970464.26162389|2020-07-16 08:31:32.915
55732045388710292|87035567.0485478|87035567.0485478|2020-07-18 01:39:19.782
4667699538792810916|44594355.828254215|44594355.828254215|2020-07-18 15:12:49.98
4667699538792809002|54581455.186774336|54581455.186774336|2020-07-19 01:35:33.295
4667981013769521515|53152057.73151639|53152057.73151639|2020-07-19 18:10:41.934
56294995342132509|60060286.24909756|60060286.24909756|2020-07-20 03:20:01.479
4668543963722942739|16598961.73899522|16598961.73899522|2020-07-21 10:49:55.222
4668543963722943110|44900211.57453737|44900211.57453737|2020-07-21 23:57:12.524
58265320179106939|58946813.08999384|58946813.08999384|2020-07-26 14:07:45.399
4669951338606494288|79418004.88754915|79418004.88754915|2020-07-26 19:09:09.059
4669951338606495961|1620751.0883300526|1620751.0883300526|2020-07-26 22:28:15.008
58546795155817257|80412070.95216572|80412070.95216572|2020-07-28 03:26:09.459
4670514288559916137|64340066.805171296|64340066.805171296|2020-07-28 04:51:44.098
4670514288559916488|2518760.08409896|2518760.08409896|2020-07-28 07:42:00.447
4670795763536626687|5053108.987587612|5053108.987587612|2020-07-29 08:24:26.41
4670795763536626846|57214711.68578465|57214711.68578465|2020-07-29 17:17:10.431
4671640188466759604|92002023.81139857|92002023.81139857|2020-08-01 10:43:39.147
4671640188466758485|90783139.03471051|90783139.03471051|2020-08-01 11:36:22.023
