companyId|accountId|createTime
739|9007199254742581|2020-02-02 15:07:42.441
506|9288674231452755|2020-02-03 17:37:01.36
616|12666373951980848|2020-02-15 08:03:09.346
192|15481123719086477|2020-02-25 10:17:36.65
550|15481123719087265|2020-02-26 00:20:55.63
599|18014398509483274|2020-03-05 15:27:45.031
100|18295873486192859|2020-03-06 12:39:46.518
773|19703248369747572|2020-03-11 20:58:13.842
602|19984723346457874|2020-03-12 12:24:30.053
237|20829148276589050|2020-03-15 09:05:01.08
678|23925373020407211|2020-03-26 09:44:28.139
423|24488322973827994|2020-03-28 16:37:18.841
870|26458647810803524|2020-04-04 12:48:21.004
1099511628733|27584547717646353|2020-04-09 00:59:07.638
997|28710447624489049|2020-04-12 05:53:11.483
351|32088147345015530|2020-04-24 04:37:22.876
29|32932572275146813|2020-04-27 05:37:28.729
584|35747322042254567|2020-05-08 01:27:28.742
1099511627995|36028797018964424|2020-05-08 12:07:20.357
1099511627918|38843546786070845|2020-05-18 21:28:28.691
663|38843546786071948|2020-05-19 02:23:55.72
314|39969446692913813|2020-05-22 13:17:45.643
685|41376821576467896|2020-05-27 15:25:13.968
796|41658296553178793|2020-05-28 04:32:11.488
1099511627942|41939771529888100|2020-05-29 09:54:40.652
533|41939771529888900|2020-05-29 20:59:56.75
790|41939771529889438|2020-05-30 00:07:09.703
1099511628596|42784196460021467|2020-06-01 11:07:43.118
336|45598946227126982|2020-06-11 04:44:10.609
1099511627918|46161896180547899|2020-06-13 13:58:18.01
1099511628236|47569271064101869|2020-06-18 20:39:37.977
1099511628562|47850746040813200|2020-06-19 22:40:29.012
1099511628729|48413695994234887|2020-06-21 10:24:34.475
991|49258120924366929|2020-06-24 23:46:36.023
64|49539595901075599|2020-06-25 22:35:58.237
1099511628460|49821070877787574|2020-06-26 08:31:32.661
821|50665495807919839|2020-06-30 00:11:48.09
1099511627835|52072870691471493|2020-07-04 12:59:16.464
2199023255637|52635820644892861|2020-07-06 15:09:38.257
961|52635820644894746|2020-07-07 01:44:02.503
533|52635820644893827|2020-07-07 02:33:05.555
2199023256480|52917295621605331|2020-07-07 18:04:39.4
2199023255687|53198770598314278|2020-07-08 18:43:51.454
1099511628490|53480245575026168|2020-07-09 10:21:21.124
615|53480245575025966|2020-07-09 11:16:51.025
2199023255780|54043195528446429|2020-07-11 10:28:47.438
93|54606145481867469|2020-07-14 02:47:40.978
1099511628521|55169095435290181|2020-07-15 05:36:33.19
642|55169095435289956|2020-07-15 09:59:08.794
1099511628516|56013520365422138|2020-07-18 17:14:29.616
2199023256188|56857945295553881|2020-07-21 21:23:44.454
1099511628006|57702370225684965|2020-07-24 04:43:31.928
1099511627828|57983845202395252|2020-07-25 05:04:16.816
2199023256380|58828270132528876|2020-07-28 06:30:27.419
1099511627789|59109745109237789|2020-07-29 12:54:07.508
938|59109745109239782|2020-07-29 15:08:46.342
807|59109745109239486|2020-07-29 23:10:15.366
615|59391220085949743|2020-07-30 05:31:12.133
2199023255777|59391220085948890|2020-07-30 06:13:24.049
178|59391220085948794|2020-07-31 04:03:04.341
1099511628725|59672695062661119|2020-07-31 18:22:11.077
1099511627831|59672695062659197|2020-08-01 03:43:50.052
2199023256506|60235645016082443|2020-08-02 20:54:45.952
2199023256188|60235645016081752|2020-08-03 02:53:41.958
1099511628312|60517119992792203|2020-08-04 01:42:20.654
1099511627831|60798594969501822|2020-08-04 13:08:59.446
1099511628351|61924494876345554|2020-08-08 20:20:26.68
2199023256523|62205969853057066|2020-08-09 09:52:58.029
1099511627834|62205969853055106|2020-08-09 11:11:19.997
2199023256163|62768919806477606|2020-08-11 11:32:31.126
1099511628490|63331869759899130|2020-08-13 05:02:39.622
2199023255724|63613344736608623|2020-08-14 17:26:40.482
2199023255940|63894819713319746|2020-08-15 11:19:25.882
2199023256243|63894819713320391|2020-08-15 16:06:49.394
2199023256243|64176294690031045|2020-08-17 01:08:47.93
342|64457769666740947|2020-08-17 20:58:23.812
2199023255597|65302194596872287|2020-08-21 05:05:07.73
1099511627847|66146619527004315|2020-08-24 04:29:40.305
2199023256007|66709569480426470|2020-08-25 07:57:36.956
764|67272519433848417|2020-08-27 22:21:15.455
764|68116944363980386|2020-08-30 16:25:44.406
2199023255759|68398419340689837|2020-08-31 19:29:03.292
1099511628148|68679894317400859|2020-09-01 08:41:26.105
180|69242844270821756|2020-09-03 15:36:32.447
2199023255630|69805794224242858|2020-09-05 05:52:19.587
1099511628289|69805794224243807|2020-09-05 22:35:48.306
1099511628297|70087269200954482|2020-09-06 15:01:39.698
667|70368744177665426|2020-09-07 21:06:48.979
1099511628614|71776119061219072|2020-09-12 06:51:30.929
908|71776119061219226|2020-09-13 03:09:17.528
1099511628772|72057594037930072|2020-09-13 07:36:19.686
3298534883629|72902018968060534|2020-09-16 17:01:09.007
2199023255702|72902018968060236|2020-09-17 01:46:11.148
3298534883372|73746443898191965|2020-09-20 05:33:16.894
3298534884216|74027918874904431|2020-09-20 20:57:46.738
2199023256399|74027918874904340|2020-09-21 00:17:44.434
968|74309393851615270|2020-09-21 10:37:20.549
3298534883722|74590868828324687|2020-09-22 11:34:39.395
968|74872343805036583|2020-09-23 15:38:09.764
2199023256531|74872343805036600|2020-09-24 01:21:16.944
1099511627870|75153818781745358|2020-09-24 08:26:39.874
2199023256506|75435293758457864|2020-09-25 16:17:34.914
336|75435293758456517|2020-09-25 19:35:46.751
930|75716768735168471|2020-09-27 02:25:56.353
2199023256267|76279718688589308|2020-09-28 06:01:41.261
2199023256478|76279718688589773|2020-09-29 05:47:53.567
1099511628006|76561193665298918|2020-09-29 18:59:08.591
3298534883946|76561193665299765|2020-09-29 20:43:32.962
1099511627789|77124143618719771|2020-10-01 14:38:45.427
2199023255649|77124143618719957|2020-10-02 01:45:03.218
3298534883917|77405618595431664|2020-10-02 11:53:24.353
2199023256288|77405618595431985|2020-10-02 20:24:53.432
2199023256281|77405618595431968|2020-10-03 01:39:01.046
2199023256446|77687093572142977|2020-10-03 12:47:58.82
257|77687093572141600|2020-10-03 18:24:18.403
2199023255836|78812993478984276|2020-10-07 15:05:48.471
2199023255710|78812993478984025|2020-10-07 21:52:01.607
