companyId|loanId|createTime
534|14918173765665479|2020-02-23 22:32:05.997
29|23080948090273828|2020-03-23 19:22:07.859
678|24769797950538634|2020-03-29 05:23:47.689
901|27584547717645517|2020-04-08 12:48:13.144
1099511627777|36310271995674626|2020-05-09 16:14:12.138
43|36310271995674689|2020-05-09 21:18:17.636
960|39969446692914457|2020-05-22 22:17:32.089
1099511628000|40813871623045419|2020-05-25 13:08:24.727
1099511628517|41658296553178095|2020-05-28 13:25:27.164
1099511628725|43347146413442318|2020-06-03 21:19:03.472
93|45035996273705071|2020-06-09 15:25:54.803
1099511628219|46724846133969475|2020-06-15 15:23:04.311
1099511628289|49821070877786797|2020-06-26 18:16:12.796
815|50384020831208539|2020-06-29 03:28:08.405
1099511628596|51791395714761829|2020-07-03 21:18:59.568
1099511628725|52354345668183309|2020-07-05 20:01:48.579
739|55450570412000236|2020-07-16 08:31:32.915
2199023255862|55732045388710292|2020-07-18 01:39:19.782
961|56294995342132509|2020-07-20 03:20:01.479
2199023256395|58265320179106939|2020-07-26 14:07:45.399
598|58546795155817257|2020-07-28 03:26:09.459
2199023255687|61080069946212526|2020-08-05 06:06:11.142
976|64176294690030897|2020-08-16 08:03:38.357
2199023256084|66991044457136837|2020-08-26 23:24:30.959
568|67272519433847543|2020-08-27 22:05:48.061
3298534883678|68398419340689866|2020-08-31 12:18:36.682
3298534883645|68679894317400480|2020-09-02 03:17:26.565
2199023256023|69242844270822005|2020-09-03 19:15:51.118
3298534884142|71494644084507737|2020-09-11 21:45:33.672
2199023256122|71776119061218040|2020-09-12 18:36:27.687
1099511628460|72057594037928856|2020-09-13 09:05:58.892
257|74027918874902872|2020-09-20 13:28:28.807
2199023256523|74309393851614507|2020-09-21 17:23:11.382
821|74590868828324966|2020-09-22 18:33:37.428
642|74872343805035355|2020-09-23 06:19:04.879
2199023255737|75153818781745396|2020-09-24 09:10:28.855
2199023256380|76279718688588908|2020-09-28 11:12:35.292
678|77687093572141964|2020-10-03 17:54:56.699
2199023256282|78250043525563361|2020-10-05 19:19:50.269
685|78812993478984604|2020-10-07 13:41:24.232
1099511628000|79375943432405289|2020-10-09 08:56:35.184
599|79938893385827118|2020-10-12 04:38:30.088
3298534883429|80501843339247736|2020-10-13 08:18:12.36
3298534883699|81064793292669426|2020-10-15 09:51:06.562
2199023256322|81627743246091289|2020-10-17 19:15:47.034
1099511628517|82190693199512562|2020-10-20 00:26:37.719
43|82190693199511616|2020-10-20 02:52:40.103
2199023255724|83879543059775712|2020-10-25 10:19:02.684
1099511628219|83879543059776065|2020-10-25 10:26:24.335
2199023256094|85849867896750803|2020-11-01 10:00:47.658
3298534884130|87538717757015110|2020-11-07 22:35:41.15
3298534884005|88664617663857544|2020-11-12 01:45:55.378
961|90353467524121882|2020-11-17 09:33:00.434
