accountId|createTime|isBlocked|accoutType
4613937818241074769|2020-01-09 18:08:45.162|false|foreign currency
4616189618054761146|2020-01-17 13:20:05.731|false|foreign currency
4616189618054760184|2020-01-17 18:13:50.681|false|brokerage account
4619004367821865972|2020-01-27 03:51:39.228|false|brokerage account
9007199254742581|2020-02-02 15:07:42.441|false|brokerage account
9288674231452755|2020-02-03 17:37:01.36|false|corporate account
4623226492472526111|2020-02-11 12:40:43.726|false|retirement account
4624352392379367517|2020-02-15 01:11:23.174|false|corporate account
12666373951980848|2020-02-15 08:03:09.346|false|escrow account
4626041242239634134|2020-02-21 05:46:56.153|false|credit card
15481123719086477|2020-02-25 10:17:36.65|false|foreign currency
15481123719087265|2020-02-26 00:20:55.63|false|credit card
4627730092099897355|2020-02-27 13:07:02.01|false|corporate account
4628574517030029036|2020-03-01 16:55:50.107|false|brokerage account
18014398509483274|2020-03-05 15:27:45.031|false|trust account
18295873486192859|2020-03-06 12:39:46.518|false|corporate account
4631107791820426553|2020-03-10 10:52:10.858|false|corporate account
19703248369747572|2020-03-11 20:58:13.842|false|prepaid card
19984723346457874|2020-03-12 12:24:30.053|false|custodial account
4631952216750557257|2020-03-13 10:01:54.537|false|foreign currency
4631952216750556504|2020-03-13 21:06:23.565|false|debit card
4632233691727269652|2020-03-14 05:00:01.01|true|certificate of deposit
20829148276589050|2020-03-15 09:05:01.08|false|brokerage account
4633078116657400395|2020-03-17 23:25:42.336|false|trust account
4634485491540952415|2020-03-22 12:11:25.397|false|debit card
4635611391447795535|2020-03-26 05:43:58.862|false|trust account
23925373020407211|2020-03-26 09:44:28.139|false|brokerage account
24488322973827994|2020-03-28 16:37:18.841|false|foreign currency
4636737291354637232|2020-03-30 07:06:28.363|false|foreign currency
4637018766331350637|2020-03-31 10:03:25.121|false|custodial account
26458647810803524|2020-04-04 12:48:21.004|false|certificate of deposit
4639270566145033456|2020-04-08 06:34:40.109|false|credit card
4639270566145032751|2020-04-08 11:50:49.904|false|certificate of deposit
27584547717646353|2020-04-09 00:59:07.638|false|merchant account
4639552041121746027|2020-04-09 17:34:17.618|false|prepaid card
4639552041121743007|2020-04-09 22:03:03.358|true|debit card
28710447624489049|2020-04-12 05:53:11.483|false|debit card
4640396466051875477|2020-04-12 19:57:22.79|false|foreign currency
4640677941028589145|2020-04-13 11:40:18.375|false|brokerage account
4641803840935431194|2020-04-17 11:45:44.783|false|merchant account
4642085315912140209|2020-04-18 13:55:28.239|false|corporate account
4642366790888851679|2020-04-19 15:32:58.39|false|custodial account
4642929740842271280|2020-04-21 09:25:15.317|false|retirement account
32088147345015530|2020-04-24 04:37:22.876|false|certificate of deposit
4643774165772405013|2020-04-24 05:28:27.981|false|merchant account
4643774165772404404|2020-04-24 09:15:17.746|false|corporate account
4644337115725827816|2020-04-26 18:15:23.826|false|debit card
32932572275146813|2020-04-27 05:37:28.729|false|credit card
4644618590702537274|2020-04-27 10:07:25.851|false|trust account
4645181540655958681|2020-04-29 06:41:05.572|false|brokerage account
4645181540655959670|2020-04-29 23:03:33.628|false|prepaid card
4646025965586089637|2020-05-02 17:12:56.962|false|merchant account
4647433340469641974|2020-05-07 17:52:25.375|false|certificate of deposit
35747322042254567|2020-05-08 01:27:28.742|false|escrow account
36028797018964424|2020-05-08 12:07:20.357|false|certificate of deposit
4648277765399777591|2020-05-10 13:01:42.418|false|escrow account
4648277765399774600|2020-05-10 23:21:53.207|false|retirement account
4648559240376485622|2020-05-12 01:20:18.408|false|foreign currency
4648840715353195126|2020-05-12 12:23:03.083|false|certificate of deposit
4648840715353196196|2020-05-12 17:35:28.766|false|foreign currency
4648840715353198455|2020-05-13 01:41:48.577|false|corporate account
4649403665306618848|2020-05-14 20:10:03.091|false|brokerage account
4649685140283327627|2020-05-15 09:38:24.143|false|credit card
4650248090236749697|2020-05-17 14:14:57.21|false|custodial account
38843546786070845|2020-05-18 21:28:28.691|false|retirement account
38843546786071948|2020-05-19 02:23:55.72|false|merchant account
39969446692913813|2020-05-22 13:17:45.643|false|foreign currency
