mediumId|mediumType|isBlocked|createTime
356|PHONE|false|2020-01-01 13:44:29.852
1012|PHONE|false|2020-01-02 19:58:29.733
367|NFC|false|2020-01-03 20:28:17.097
474|IPv4|false|2020-01-05 06:19:10.597
1324|POS|false|2020-01-05 08:16:24.877
1479|MAC|false|2020-01-08 10:16:46.5
1096|RFID|false|2020-01-08 10:48:18.933
639|MAC|false|2020-01-08 15:52:00.043
1276|QRCode|false|2020-01-08 18:47:29.474
1477|NFC|false|2020-01-11 09:43:17.037
440|ATM|false|2020-01-11 14:47:44.237
928|IPv4|false|2020-01-12 15:14:36.754
397|IPv4|false|2020-01-12 23:46:57.958
240|RFID|false|2020-01-14 09:41:01.037
884|MAC|false|2020-01-14 12:45:03.753
633|ATM|false|2020-01-15 11:43:41.691
159|QRCode|true|2020-01-16 01:29:15.046
467|POS|false|2020-01-17 00:02:19.569
648|RFID|false|2020-01-17 01:18:06.459
182|WIFI|false|2020-01-18 01:09:55.577
1425|QRCode|false|2020-01-18 06:40:58.01
904|QRCode|false|2020-01-18 14:27:15.782
1298|ATM|false|2020-01-18 16:59:00.403
568|IPv6|false|2020-01-20 19:52:09.681
1311|WIFI|false|2020-01-21 06:47:53.156
1184|ATM|false|2020-01-21 14:45:06.929
897|IPv6|false|2020-01-21 18:11:38.194
1211|PHONE|false|2020-01-23 11:17:01.809
184|WIFI|false|2020-01-24 04:09:21.307
1048|NFC|false|2020-01-25 06:58:22.344
20|QRCode|false|2020-01-26 01:04:09.683
582|QRCode|false|2020-01-26 03:09:39.154
573|NFC|false|2020-01-26 19:41:19.446
1043|QRCode|false|2020-01-27 16:19:10.254
699|PHONE|false|2020-01-28 02:25:03.88
318|RFID|false|2020-01-29 02:39:08.167
282|WIFI|true|2020-01-29 07:23:13.702
95|QRCode|true|2020-01-30 20:58:52.11
1072|RFID|false|2020-01-31 07:23:39.53
630|PHONE|false|2020-01-31 13:09:56.582
344|NFC|true|2020-01-31 13:31:33.795
772|IPv6|false|2020-02-01 00:18:40.461
758|NFC|false|2020-02-01 03:33:01.857
675|POS|false|2020-02-01 07:23:09.956
1219|RFID|false|2020-02-01 23:46:01.736
640|QRCode|false|2020-02-02 07:21:53.064
236|QRCode|false|2020-02-02 08:00:59.429
986|NFC|false|2020-02-02 18:04:07.827
804|WIFI|false|2020-02-03 06:04:49.95
294|ATM|false|2020-02-03 13:27:17.474
1185|ATM|false|2020-02-04 08:17:58.182
1246|ATM|false|2020-02-04 11:37:30.835
481|QRCode|false|2020-02-05 15:54:19.967
530|POS|false|2020-02-06 05:51:04.454
1456|IPv4|false|2020-02-06 11:59:05.514
576|IPv4|false|2020-02-06 13:24:45.983
1178|RFID|false|2020-02-06 23:44:54.273
1328|ATM|false|2020-02-07 14:23:09.67
1107|PHONE|false|2020-02-07 20:19:34.581
1095|IPv6|false|2020-02-08 02:50:25.722
946|QRCode|false|2020-02-08 21:24:06.856
1337|IPv4|false|2020-02-10 06:28:38.795
134|NFC|false|2020-02-11 04:08:59.488
189|MAC|false|2020-02-11 07:39:27.654
1126|MAC|false|2020-02-13 05:16:40.003
1341|WIFI|false|2020-02-13 20:04:45.299
0|WIFI|false|2020-02-14 01:42:00.946
768|PHONE|false|2020-02-14 17:06:48.618
413|POS|false|2020-02-15 01:52:36.083
700|IPv6|false|2020-02-15 03:42:34.639
219|ATM|false|2020-02-15 14:35:33.709
1487|POS|false|2020-02-16 10:12:13.523
1451|WIFI|false|2020-02-18 04:20:51.875
93|QRCode|false|2020-02-19 15:55:49.302
456|ATM|false|2020-02-19 19:28:04.406
96|IPv4|false|2020-02-20 00:38:03.697
1366|PHONE|false|2020-02-20 20:20:39.087
1103|ATM|false|2020-02-21 06:21:46.968
1075|QRCode|true|2020-02-21 07:14:40.582
1067|ATM|false|2020-02-23 09:48:44.713
703|ATM|false|2020-02-23 17:57:06.224
127|QRCode|false|2020-02-24 04:10:16.797
207|ATM|false|2020-02-25 01:21:32.332
868|IPv4|false|2020-02-25 23:48:27.88
1457|NFC|false|2020-02-26 20:25:19.164
502|WIFI|false|2020-02-26 21:50:10.195
423|RFID|false|2020-02-27 14:49:06.725
645|RFID|false|2020-02-29 04:29:26.771
1318|WIFI|false|2020-03-01 08:44:48.103
1032|ATM|false|2020-03-02 19:19:00.406
1333|PHONE|false|2020-03-04 03:19:56.263
170|ATM|false|2020-03-04 08:02:49.994
323|PHONE|false|2020-03-05 05:32:38.026
477|RFID|false|2020-03-07 11:32:17.4
1490|WIFI|false|2020-03-08 12:43:10.723
1086|IPv6|false|2020-03-08 17:03:16.161
1112|IPv4|true|2020-03-10 00:14:00.388
1369|NFC|false|2020-03-10 04:34:26.017
719|IPv6|false|2020-03-10 19:36:36.977
13|RFID|true|2020-03-10 20:32:37.353
847|IPv4|false|2020-03-11 10:03:39.383
1476|RFID|false|2020-03-14 07:33:17.327
1452|RFID|false|2020-03-15 12:30:12.909
547|MAC|false|2020-03-16 14:07:38.104
4398046511418|NFC|false|2020-03-16 23:17:16.53
4398046511382|MAC|false|2020-03-18 15:03:39.028
4398046511457|MAC|false|2020-03-19 06:24:41.866
4398046511253|MAC|false|2020-03-19 22:09:50.339
4398046511185|PHONE|false|2020-03-20 07:35:39.248
4398046511163|IPv6|false|2020-03-22 05:40:01.914
4398046511945|NFC|false|2020-03-23 02:00:01.472
4398046511189|PHONE|false|2020-03-23 04:10:21.535
4398046512065|NFC|false|2020-03-23 18:31:59.167
4398046511990|POS|false|2020-03-23 19:59:19.237
4398046511514|ATM|false|2020-03-24 18:21:11.121
4398046512079|PHONE|false|2020-03-25 10:21:17.658
4398046511761|ATM|false|2020-03-26 15:39:21.562
4398046512192|IPv6|false|2020-03-27 10:31:49.727
4398046512124|WIFI|false|2020-03-27 19:51:46.426
4398046512566|ATM|true|2020-03-28 14:32:27.623
4398046512411|MAC|true|2020-04-01 03:49:56.863
4398046512394|RFID|false|2020-04-02 01:53:17.655
4398046512360|NFC|false|2020-04-02 17:20:08.317
4398046512472|PHONE|false|2020-04-02 23:13:44.628
4398046512196|QRCode|false|2020-04-03 09:05:45.735
4398046512177|IPv6|false|2020-04-03 09:47:14.122
4398046511605|IPv6|false|2020-04-04 13:52:43.67
4398046511423|POS|false|2020-04-04 20:00:15.743
4398046512586|WIFI|false|2020-04-05 10:59:27.955
4398046512048|QRCode|false|2020-04-07 02:53:59.901
4398046511421|PHONE|false|2020-04-07 05:04:11.839
4398046511621|ATM|false|2020-04-07 11:01:23.7
4398046512102|IPv6|false|2020-04-07 16:06:37.792
4398046511955|IPv4|false|2020-04-07 18:03:06.85
4398046511663|NFC|false|2020-04-11 08:05:56.895
4398046512351|IPv6|false|2020-04-11 16:13:42.133
4398046512368|QRCode|false|2020-04-12 13:14:29.17
4398046512479|IPv6|false|2020-04-13 00:54:33.535
4398046512416|PHONE|false|2020-04-14 21:30:56.97
4398046511687|RFID|false|2020-04-16 23:45:58.841
4398046511610|MAC|false|2020-04-18 01:23:13.608
4398046511740|WIFI|false|2020-04-18 09:56:58.026
4398046511894|MAC|false|2020-04-19 08:20:35.233
4398046511334|MAC|false|2020-04-19 17:52:34.915
4398046511237|MAC|false|2020-04-19 19:21:57.985
4398046512442|ATM|false|2020-04-20 20:16:33.387
4398046512417|NFC|false|2020-04-20 22:04:05.5
4398046511343|PHONE|false|2020-04-21 14:16:22.99
4398046511360|PHONE|false|2020-04-21 16:48:38.164
4398046511861|NFC|false|2020-04-23 17:23:01.571
4398046511589|PHONE|false|2020-04-24 07:53:55.759
4398046512138|PHONE|false|2020-04-24 14:46:11.338
4398046512372|WIFI|false|2020-04-25 01:15:29.738
4398046511463|NFC|false|2020-04-25 23:39:44.358
4398046511625|RFID|false|2020-04-26 22:08:28.392
4398046511715|ATM|false|2020-04-27 05:15:38.276
4398046511261|IPv6|false|2020-04-28 11:43:58.743
4398046511415|ATM|false|2020-04-28 17:02:48.973
4398046511436|PHONE|false|2020-04-29 12:41:26.696
4398046511913|POS|false|2020-04-29 13:11:40
4398046511296|POS|false|2020-04-30 03:58:36.735
4398046512304|RFID|false|2020-04-30 05:19:14.518
4398046512322|QRCode|false|2020-04-30 13:03:36.275
4398046512045|IPv6|false|2020-04-30 20:37:35.283
4398046511220|ATM|false|2020-05-01 13:11:07.454
4398046511700|NFC|false|2020-05-03 14:37:29.456
4398046512244|POS|false|2020-05-06 12:09:41.872
