accountId|loanId|amount|createTime
23925373020407211|24769797950538634|17693696.989343166|2020-06-21 06:30:59.06
54606145481867469|45035996273705071|1825947.8628959153|2020-07-30 00:33:43.376
54606145481867469|45035996273705071|388463.08110314555|2020-09-15 18:02:14.997
4678114112931107073|4616471093031471711|18418642.42351441|2020-09-24 03:18:03.938
49821070877787574|72057594037928856|5662576.095681826|2020-09-29 19:48:34.325
53198770598314278|61080069946212526|16625302.857700765|2020-10-06 13:59:20.488
23925373020407211|24769797950538634|292741.4836013016|2020-10-10 09:26:56.674
4689373111999532835|4679802962791369032|164717.72839980497|2020-10-13 15:27:17.088
4691906386789926812|4648277765399774365|82437.34456017922|2020-10-30 06:48:36.22
4667418063816100515|4638989091168323203|4322330.8924470665|2020-11-03 12:21:05.152
4698098836277562828|4685150987348871295|3068709.165624427|2020-11-04 22:58:09.619
4644618590702537274|4655596114794251858|60147166.05230023|2020-11-13 16:17:19.863
55169095435289956|74872343805035355|56646114.434895016|2020-11-19 07:17:27.298
90634942500831977|91479367430963656|9433147.565916574|2020-11-27 13:47:37.975
4681773287628342191|4669951338606494288|23771379.937800348|2020-12-06 13:07:53.847
4651936940097015746|4667699538792810916|4452934.872063334|2020-12-14 21:10:03.588
18014398509483274|79938893385827118|18529011.64826944|2020-12-24 04:53:59.869
4704291285765197238|4694158186603612268|7282308.906975185|2020-12-25 23:13:09.957
4691906386789926812|4670795763536626846|11783144.989448499|2021-01-01 06:02:42.508
94294117198071517|51791395714761829|312577.95288413274|2021-01-06 09:24:37.715
95138542128202619|104145741382943264|221211.88156950838|2021-01-07 09:22:13.289
4708513410415854970|4653625789957276512|24793029.309480164|2021-01-09 02:56:49.282
50665495807919839|74590868828324966|609759.3229069444|2021-01-11 03:28:58.817
4706543085578880826|4670514288559916137|9396644.98345855|2021-01-16 00:17:24.153
4704854235718615218|4645181540655956113|13207995.398392564|2021-01-17 07:35:41.935
4704854235718615218|4645181540655956113|10419328.329694824|2021-01-20 18:36:12.706
4664040364095573750|4723150109204810034|36184550.60184252|2021-02-10 09:00:28.708
4694439661580323001|4664884789025703244|8170853.620295848|2021-02-10 14:13:26.529
86975767803594752|43347146413442318|5564370.194009692|2021-02-10 17:58:40.528
4702039485951510868|4654751689864119732|10698383.664148973|2021-02-18 14:58:29.649
4715268809856913060|4703728335811774726|3624580.8153001904|2021-02-19 13:59:22.367
4708794885392566308|4681773287628342516|567012.1410495141|2021-02-20 00:51:51.749
