fromId|toId|amount|createTime
28710447624489049|48413695994234887|544595.7886430753|2020-06-29 02:33:46.538
28710447624489049|27584547717646353|547255.5134866786|2020-08-27 03:28:05.23
4616189618054761146|4667981013769519493|6881195.9078756105|2020-09-16 04:31:50.508
45598946227126982|4616189618054761146|2439163.8791447147|2020-09-19 06:58:21.495
53198770598314278|76561193665298918|2363582.80831804|2020-10-12 22:40:33.849
72902018968060236|76561193665298918|6019698.47740729|2020-10-31 20:43:20.243
84723967989909048|55169095435289956|6072376.806672535|2020-11-03 10:23:21.564
72902018968060534|76561193665298918|9451334.282795662|2020-11-08 04:29:59.592
85568392920039754|76561193665298918|4257371.085503733|2020-11-11 10:43:00.83
4660944139351754967|4679240012837945883|6135160.354274724|2020-11-13 03:43:16.423
53198770598314278|41939771529888100|3227098.7789507066|2020-11-19 15:54:14.684
70087269200954482|61924494876345554|7541650.958573926|2020-11-20 19:23:44.532
59672695062661119|77687093572142977|8596398.595057508|2020-11-29 17:44:16.032
83598068083066397|81346268269380873|4939850.534675291|2020-11-30 16:54:14.001
12666373951980848|4623226492472526111|7192615.495118739|2020-12-01 03:27:51.742
4685995412279002016|4647433340469641974|8280096.7441110825|2020-12-04 15:39:06.245
28710447624489049|27584547717646353|7025735.427675605|2020-12-05 02:47:13.861
4706261610602168877|4648840715353198455|6300856.283233073|2020-12-08 14:20:18.653
4656159064747673970|4709357835345989817|2394843.1373573686|2020-12-14 16:11:53.438
4688528687069397895|4655877589770961691|1222062.7439584476|2020-12-17 16:07:00.157
4624352392379367517|4695284086510452819|2893609.0858880193|2020-12-19 06:55:51.245
4655877589770961691|4706261610602169029|7923832.533164133|2020-12-25 01:53:56.508
4691061961859794334|98234766872020117|4856288.805328477|2020-12-25 06:14:40.91
59109745109239486|58828270132528876|1778621.6955033862|2020-12-28 11:27:01.032
88664617663858067|56857945295553881|461645.61209060985|2021-01-06 01:25:40.504
4678114112931107073|59391220085948794|1800451.5673459298|2021-01-08 02:11:18.918
94294117198071517|63894819713320391|6944179.887472478|2021-01-09 12:35:11.872
95982967058333976|76561193665298918|7349229.169661975|2021-01-12 03:08:52.303
4716394709763755431|4707387510509015023|1593963.7128167106|2021-01-13 19:20:11.793
94294117198071517|106116066219918993|2039116.2453639433|2021-01-16 12:12:24.519
85568392920039754|76561193665298918|6961639.904606645|2021-01-17 09:31:50.339
105834591243208601|41658296553178793|1032557.3774401719|2021-01-18 06:28:36.635
4678958537861236870|4660099714421622762|2943249.183930943|2021-01-21 05:01:19.65
4676988213024261509|4715550284833621331|9113747.957132839|2021-01-22 01:40:35.429
41658296553178793|98797716825441649|6597138.391291614|2021-01-22 14:09:45.751
99360666778861702|76561193665298918|9174215.471964551|2021-01-23 00:38:00.798
4683743612465318965|41939771529889438|6013533.564092694|2021-01-28 07:05:29.034
95982967058333976|76561193665298918|376554.57487209886|2021-01-29 15:04:10.584
4667699538792808461|4717239134693883918|4107961.9549106173|2021-01-30 21:12:28.375
60798594969501822|76561193665298918|3301226.4588355664|2021-02-02 15:08:41.926
4722868634228100970|4713579959996649398|9058153.816516912|2021-02-02 17:56:21.754
94012642221359198|76561193665298918|5248633.537901053|2021-02-03 17:17:27.614
56857945295553881|98516241848730667|8352760.560921478|2021-02-04 07:48:58.806
106116066219918922|76279718688589308|2906981.8678492755|2021-02-04 19:46:03.933
28710447624489049|52917295621605331|4428318.632732427|2021-02-07 21:56:03.176
4678958537861236870|4660099714421622762|3298327.7157132407|2021-02-07 23:34:26.131
4613937818241074769|4711046685206250526|4542554.7728242325|2021-02-08 20:26:36.673
54043195528446429|103582791429521841|1892056.5327726724|2021-02-09 02:16:07.026
106679016173339324|93731167244649238|8902112.361243743|2021-02-10 00:26:34.959
4688810162046107832|4713017010043224256|3201936.163528627|2021-02-11 03:19:44.072
94857067151491579|65302194596872287|3701616.3996849884|2021-02-11 07:33:47.151
59391220085948794|4722024209297968061|7025801.558702278|2021-02-11 09:11:45.033
4699787686137824730|4681210337674921316|8652048.09592736|2021-02-12 14:10:38.372
9288674231452755|104990166313075455|4687936.011721856|2021-02-13 23:45:04.184
81346268269380873|4724557484088365080|2903857.077279732|2021-02-14 05:22:00.745
4725683383995206265|4685150987348871304|460979.6488426654|2021-02-14 15:58:57.461
4719490934507573412|4721742734321258639|2824368.331008772|2021-02-15 08:03:34.596
4717239134693883918|4723431584181518354|1527336.0478742525|2021-02-15 21:41:15.57
4715831759810332487|4720616834414413659|4836096.750898841|2021-02-16 02:43:44.754
60798594969501822|76561193665298918|7432810.357239436|2021-02-17 06:42:07.452
41939771529888100|76561193665298918|880990.3181036316|2021-02-17 23:20:22.71
4727935183808892758|4678677062884528020|158321.55893101718|2021-02-20 15:29:19.802
4720616834414415528|4713298485019938082|4840151.261964548|2021-02-20 17:52:27.573
4652218415073725095|4722587159251389134|570652.7902265124|2021-02-21 00:07:56.45
4636737291354637232|4703446860835064362|7815187.43220177|2021-02-22 01:48:59.152
28710447624489049|88101667710437455|9425583.57372058|2021-02-23 12:55:53.821
28710447624489049|52917295621605331|2458863.9681359082|2021-02-23 13:50:01.037
98516241848730667|117656540265054957|8777173.705974407|2021-02-23 19:30:43.732
112871465660974827|4713298485019937773|8274006.531523241|2021-02-24 13:19:45.259
103301316452810984|76561193665298918|2544808.6909141676|2021-02-28 18:08:45.116
4724838959065073865|4705135710695328018|9286840.236152273|2021-03-02 07:00:32.978
77124143618719771|4713579959996649398|8774192.197130797|2021-03-02 20:23:59.217
41939771529889438|4668262488746233412|2528834.899180256|2021-03-03 08:03:31.199
4702039485951510868|4716676184740465042|7696885.590511476|2021-03-04 21:29:17.963
101893941569257739|93449692267939780|1074560.778415673|2021-03-05 15:41:56.548
120471290032161837|117656540265054957|4889700.660167739|2021-03-06 01:45:06.143
104990166313076760|81064793292670876|7587736.2185764285|2021-03-06 20:27:38.974
41658296553178793|98797716825441649|1227470.2014018558|2021-03-07 01:17:08.336
99360666778861702|76561193665298918|6447306.647223706|2021-03-07 14:27:26.297
4650248090236749697|4724557484088362011|8343517.8309461875|2021-03-09 05:06:17.861
28710447624489049|75716768735168471|3425172.937054394|2021-03-09 10:38:15.361
4693032286696767604|4687684262139268905|4052422.839426374|2021-03-09 14:42:03.976
4728779608739023567|4685432462325582561|6848465.89598|2021-03-10 11:42:57.718
4700632111067955957|4640396466051875477|3002195.7761453255|2021-03-11 20:34:29.52
62768919806477606|77405618595431664|9124986.099647682|2021-03-12 17:48:17.305
121878664915714061|4713579959996649398|6993635.313301586|2021-03-12 18:37:37.027
85849867896750807|86412817850171725|7141149.373939989|2021-03-13 06:54:32.978
121878664915714061|4713579959996649398|4142345.977081959|2021-03-14 06:12:27.195
113152940637684619|103582791429521841|2452579.624238117|2021-03-14 16:20:14.041
4711609635159671780|4724276009111653213|986070.3617389533|2021-03-15 15:12:41.816
4681491812651634701|75153818781745358|1610752.3802833778|2021-03-17 07:01:37.063
82190693199512996|104708691336365410|8899092.882941298|2021-03-17 14:31:05.717
4699787686137824730|4705980135625459046|3846289.3411728228|2021-03-17 22:43:48.531
4723150109204811621|4713579959996649398|742523.1226800799|2021-03-18 10:08:28.164
4675017888187287244|83598068083065829|9134581.90206585|2021-03-18 12:36:57.456
4713579959996645606|4735816483156787444|4124781.5467420123|2021-03-18 15:55:08.439
4733564683343103245|77405618595431664|6147526.117836044|2021-03-18 16:54:24.858
4695565561487166173|4669106913676364819|2165508.1913755005|2021-03-18 17:36:24.758
4677551162977682065|4735816483156787719|3950767.307586884|2021-03-19 10:57:37.318
4695565561487166173|4669106913676364819|5476294.5919014895|2021-03-20 00:07:39.262
4678114112931107073|69242844270821756|5997665.6363380775|2021-03-21 07:48:46.303
117375065288344318|4668262488746232032|7396549.047845216|2021-03-22 18:13:30.884
81064793292670219|4713861434973358192|5143224.5592425475|2021-03-23 14:35:59.037
121878664915714061|4713579959996649398|9177056.792126844|2021-03-24 06:43:56.436
4660381189398331486|4727090758878756998|9051878.222994898|2021-03-24 11:29:55.712
4682617712558475247|4726809283902048511|701932.1410207879|2021-03-24 17:25:12.186
4723713059158231014|4669669863629784866|7913158.287015441|2021-03-25 00:01:55.405
95982967058333976|94012642221359198|8809374.576069973|2021-03-25 02:29:40.689
4706543085578880826|4726809283902049957|7014503.436140394|2021-03-25 21:43:40.461
4645181540655958681|4722024209297968061|2122807.004207131|2021-03-26 21:16:22.158
121878664915714061|119908340078739472|4107961.9549106173|2021-03-27 21:23:04.107
4700913586044667237|4713579959996646725|1957886.2010342125|2021-03-28 11:13:45.541
4730749933575997701|4719490934507571729|6815872.148314598|2021-03-29 17:01:15.829
103864266406232118|4685995412279002016|8898258.680169368|2021-03-31 01:00:51.402
123004564822557410|88664617663857200|5331685.3373407405|2021-04-01 14:42:58.83
84442493013197708|117656540265054957|5309819.01729953|2021-04-02 14:41:58.029
28710447624489049|77687093572142977|9452393.287448127|2021-04-03 10:47:01.815
4664321839072280789|4719490934507569395|8868945.415244948|2021-04-05 21:05:05.338
4700632111067959358|4685995412279001137|5458636.67924822|2021-04-08 06:20:49.828
112871465660974827|106397541196629477|6687953.2609737795|2021-04-08 20:34:07.986
4635611391447795535|4736660908086921083|7363211.019034097|2021-04-09 11:05:11.328
89227567617279187|103301316452811909|1397934.5317670633|2021-04-10 05:05:34.544
130322914217034531|123848989752689259|7092925.274727381|2021-04-10 18:20:00.437
126663739519795912|90634942500832036|7968433.022094908|2021-04-12 02:29:09.525
102456891522679728|130322914217034531|9270887.524968179|2021-04-12 03:53:39.167
4714142909950066747|4708794885392564287|394392.4586404135|2021-04-12 20:01:04.184
4727935183808892758|4704291285765197232|5832351.3468230795|2021-04-13 06:14:30.438
28710447624489049|60235645016082443|6654619.283592789|2021-04-14 17:11:41.567
94294117198071517|47850746040813200|3153497.3627018793|2021-04-16 00:10:27.426
28710447624489049|52917295621605331|1060618.675179953|2021-04-16 06:35:40.759
