fromId|toId|createTime
680|1099511628596|2020-04-27 01:56:54.258
615|534|2020-05-29 21:45:06.201
550|1099511628351|2020-06-18 07:53:46.515
1099511628601|1099511628633|2020-07-07 12:18:04.669
2199023256531|2199023256188|2020-08-13 04:40:36.525
1099511628603|1099511628236|2020-08-26 03:10:13.083
908|764|2020-09-08 03:52:40.33
1099511628050|790|2020-09-19 20:07:37.354
1099511628194|3298534884097|2020-09-27 12:44:05.869
2199023256070|2199023256370|2020-10-07 10:02:23.372
3298534883523|3298534883614|2020-10-21 09:47:39.919
3298534884005|2199023255568|2020-10-29 12:52:09.867
2199023256122|3298534883391|2020-12-08 04:38:48.843
1099511628729|1099511628330|2020-12-09 15:50:36.068
1099511628351|2199023255936|2020-12-22 07:38:18.842
3298534884188|1099511628733|2020-12-25 17:53:11.887
2199023255889|3298534883917|2020-12-31 14:15:39.032
2199023255833|2199023255630|2021-01-03 21:29:49.867
787|2199023256433|2021-01-14 13:40:13.226
3298534883629|3298534884188|2021-01-27 00:44:15.91
1099511628725|4398046511137|2021-02-04 15:10:08.659
1099511628749|4398046511285|2021-02-05 10:15:31.024
1099511628194|4398046511192|2021-02-09 11:05:02.228
1099511628148|2199023256254|2021-02-11 08:29:27.248
2199023256327|5497558139136|2021-02-19 03:25:00.194
344|2199023255711|2021-03-02 02:33:56.166
1099511627777|2199023255912|2021-03-07 13:46:38.492
2199023255578|3298534884216|2021-03-14 07:08:28.415
700|615|2021-03-17 20:00:52.774
3298534883393|616|2021-03-19 00:35:56.695
2199023256541|2199023256020|2021-03-26 05:57:22.955
3298534883393|2199023255759|2021-04-15 12:01:06.233
2199023256243|3298534883856|2021-04-27 06:59:50.133
3298534883649|5497558139349|2021-04-28 03:57:23.718
5497558139756|3298534883458|2021-04-28 07:40:45.744
4398046511113|719|2021-05-08 23:08:17.909
6597069766847|4398046511125|2021-05-24 04:25:20.204
764|4398046511808|2021-05-24 09:51:56.239
4398046511111|4398046511157|2021-05-29 09:11:46.296
2199023256433|5497558139109|2021-05-29 12:08:47.416
6597069767101|2199023256009|2021-06-03 04:29:17.475
930|2199023256458|2021-06-17 02:44:18.273
1099511628450|1099511628390|2021-06-29 11:16:51.109
3298534883628|6597069767368|2021-06-29 12:46:17.536
1099511627828|2199023256282|2021-07-04 11:04:25.682
192|3298534884125|2021-07-10 07:33:29.681
3298534883853|3298534883946|2021-07-12 01:40:05.962
2199023255588|7696581394819|2021-07-14 02:04:02.415
5497558138886|29|2021-07-14 06:18:54.347
4398046511451|5497558139755|2021-07-23 06:08:37.715
2199023256288|6597069766755|2021-08-02 13:16:46.546
5497558139002|773|2021-08-02 21:15:24.786
354|1099511628236|2021-08-04 05:50:16.905
5497558139679|6597069766898|2021-08-04 14:03:46.811
6597069767075|7696581395367|2021-08-16 01:16:30.401
5497558139600|6597069766933|2021-09-12 12:27:32.174
2199023255833|6597069767597|2021-09-13 10:30:11.63
4398046511210|2199023256132|2021-09-18 23:27:33.357
8796093022227|6597069767500|2021-09-19 03:30:57.705
1099511628521|6597069767317|2021-09-20 02:05:11.687
8796093022370|3298534883699|2021-10-01 12:52:43.8
7696581394622|3298534884053|2021-10-02 19:37:11.045
2199023255980|6597069767179|2021-10-09 07:28:47.581
4398046511208|8796093022759|2021-10-10 16:42:19.803
7696581395337|180|2021-10-13 02:21:07.616
6597069766681|8796093022528|2021-10-16 12:53:05.548
2199023256419|8796093022228|2021-10-17 21:10:35.908
8796093022890|3298534883451|2021-10-20 08:23:17.08
354|3298534883645|2021-10-20 17:49:40.427
1099511627831|1099511627838|2021-10-21 03:08:04.626
5497558139002|7696581394549|2021-10-22 01:08:40.251
5497558139133|2199023256093|2021-10-23 09:59:31.05
3298534884105|7696581394807|2021-10-23 16:43:35.887
598|8796093022588|2021-10-25 17:16:02.909
4398046511337|5497558139205|2021-10-27 10:19:24.687
7696581394565|7696581394946|2021-10-27 17:46:39.111
796|5497558139679|2021-10-29 00:35:59.15
4398046512014|8796093022546|2021-10-30 05:08:53.859
2199023256478|4398046512014|2021-10-30 22:18:10.485
8796093022926|2199023255941|2021-11-01 16:34:47.122
29|6597069766916|2021-11-02 05:47:15.996
6597069766755|1099511628134|2021-11-02 14:18:13.511
6597069767592|3298534884005|2021-11-11 08:27:30.926
787|6597069767288|2021-11-17 10:03:49.562
8796093022770|4398046512014|2021-11-21 20:48:30.867
595|3298534883649|2021-11-30 10:03:31.253
705|2199023256181|2021-12-03 03:51:11.004
5497558139645|2199023255710|2021-12-03 20:42:04.948
4398046511208|8796093022934|2021-12-15 21:39:14.115
6597069766832|6597069766723|2021-12-18 15:14:26.273
4398046511673|8796093022228|2021-12-21 10:04:05.31
4398046511157|2199023256243|2021-12-23 14:02:17.457
7696581394829|9895604650034|2021-12-31 20:18:45.842
8796093023099|1099511628596|2022-01-01 22:37:30.91
5497558139265|7696581394534|2022-01-02 11:22:58.909
5497558139600|9895604650339|2022-01-03 09:43:45.352
8796093023067|7696581395365|2022-01-05 04:10:17.945
6597069766890|1099511628070|2022-01-05 15:47:30.17
3298534884130|6597069767068|2022-01-10 11:50:12.106
3298534883452|9895604650136|2022-01-13 16:58:09.714
6597069767388|2199023255720|2022-01-15 22:03:17.321
6597069767247|9895604650852|2022-01-19 11:31:29.455
8796093022808|9895604650238|2022-01-23 23:55:47.807
1099511628517|2199023256223|2022-02-06 18:21:47.856
8796093022276|2199023256289|2022-02-14 11:22:26.891
9895604650735|1099511627777|2022-02-15 18:34:18.883
968|2199023255833|2022-02-21 00:37:57.756
7696581395076|8796093022284|2022-02-21 04:02:41.067
4398046511122|7696581394694|2022-02-23 07:22:47.305
6597069766864|8796093023073|2022-02-23 21:28:08.229
1099511628633|602|2022-02-25 01:34:49.638
