companyId|companyName|isBlocked|createTime
423|Franecki LLC|false|2020-01-01 12:38:32.171
538|Shields and Sons|false|2020-01-02 09:27:07.185
237|Rosenbaum-Gleason|false|2020-01-03 13:25:34.856
641|Schaefer-Douglas|false|2020-01-03 22:19:26.903
599|Weber-Connelly|false|2020-01-04 12:38:33.708
595|Hermann-Russel|false|2020-01-05 01:02:16.242
43|Lesch-Bergnaum|false|2020-01-06 13:26:02.776
344|Jacobson-Yost|false|2020-01-07 09:37:27.324
584|Klein Group|false|2020-01-09 05:23:18.015
807|Harber-Wilkinson|false|2020-01-09 05:48:24.25
506|Cassin-Ullrich|false|2020-01-09 19:04:44.003
365|Jacobson-Cruickshank|false|2020-01-12 00:38:15.627
560|Stracke-Kunde|false|2020-01-13 19:11:15.081
29|Koss-Rogahn|false|2020-01-16 10:37:43.38
351|Bahringer-Daniel|false|2020-01-16 17:11:23.03
976|Pacocha-Pfeffer|false|2020-01-18 20:58:39.975
901|Reinger-Weber|false|2020-01-19 10:50:29.007
616|Funk-Rolfson|false|2020-01-21 23:27:32.966
739|Kunze-Schiller|false|2020-01-23 05:21:55.928
257|Gorczany-Dickens|false|2020-01-24 16:32:04.645
483|Murazik LLC|false|2020-01-30 07:24:37.696
533|Stanton-Wolff|false|2020-01-31 12:56:59.517
667|Veum-Schaden|false|2020-02-01 04:38:10.445
938|Dickens LLC|false|2020-02-01 19:53:16.991
93|Sawayn PLC|false|2020-02-02 10:46:45.892
550|Pfannerstill PLC|false|2020-02-04 04:16:12.875
651|Morar-Quitzon|false|2020-02-05 20:13:01.18
100|Boyer-Morissette|false|2020-02-06 15:11:14.348
336|Roberts LLC|false|2020-02-08 02:23:07.703
960|Rosenbaum-Ondricka|false|2020-02-08 13:28:08.558
773|Wiegand-Anderson|false|2020-02-10 08:13:19.043
628|Weber Group|false|2020-02-11 14:54:23.984
642|McClure PLC|false|2020-02-12 17:19:44.609
180|Auer PLC|false|2020-02-16 00:09:35.883
997|Quitzon and Sons|false|2020-02-16 20:35:03.027
680|Bailey-Stehr|false|2020-02-17 10:04:45.393
192|Champlin PLC|false|2020-02-17 22:56:34.334
342|Lockman Ltd|false|2020-02-19 01:11:27.649
354|Lynch-Green|false|2020-02-19 09:55:35.923
534|Welch-Kovacek|false|2020-02-19 11:09:14.027
968|Bernhard-Wyman|false|2020-02-19 22:35:24.066
685|Kunde-Koch|false|2020-02-20 19:25:46.899
908|Rath Inc|false|2020-02-21 17:54:26.533
393|Bernier-Hill|false|2020-02-22 00:48:11.501
