mediumId|accountId|createTime
4398046511163|32932572275146813|2020-05-03 12:48:47.305
4398046511163|32932572275146813|2020-05-16 08:40:37.276
582|19984723346457874|2020-06-08 21:33:55.199
8796093022601|41658296553178793|2020-07-18 17:01:55.208
8796093023141|4659536764468199926|2020-07-24 13:45:05.574
8796093022443|59109745109237789|2020-08-08 05:26:32.942
4398046512442|4673047563350315297|2020-08-08 10:10:17.7
4398046511163|32932572275146813|2020-08-18 18:39:55.381
8796093023141|4659536764468199926|2020-08-22 09:36:42.145
4398046511229|4681491812651634701|2020-09-15 08:02:53.978
8796093022443|59109745109237789|2020-10-09 10:29:18.886
630|4683743612465316495|2020-10-18 11:56:49.736
4398046511163|32932572275146813|2020-10-30 11:22:15.191
630|4683743612465316495|2020-11-24 19:33:45.116
4398046512586|85849867896750807|2020-11-28 02:05:53.38
13194139533492|4660381189398331486|2020-12-10 15:14:48.974
4398046511955|4683743612465319975|2020-12-11 06:01:21.918
8796093022601|41658296553178793|2020-12-11 18:42:03.314
8796093023672|4662351514235310402|2020-12-13 16:30:59.309
8796093023141|4659536764468199926|2020-12-16 12:34:20.388
630|4683743612465316495|2020-12-19 21:10:19.474
17592186044778|4684306562418740791|2020-12-22 18:35:46.664
8796093022291|85849867896750807|2020-12-23 19:17:21.324
8796093023141|4659536764468199926|2021-01-04 13:20:47.221
17592186045461|4709357835345989208|2021-01-05 03:05:26.729
17592186044778|4684306562418740791|2021-01-11 20:10:48.962
17592186044956|4711046685206253441|2021-01-16 12:37:24.537
4398046512586|85849867896750807|2021-01-18 16:24:37.205
17592186045258|4704854235718619065|2021-01-22 13:33:55.25
4398046512442|4673047563350315297|2021-01-28 01:57:03.927
8796093022601|41658296553178793|2021-01-30 04:47:58.047
8796093023581|4694439661580323001|2021-01-30 12:02:54.759
4398046511113|4713298485019938082|2021-02-02 06:38:11.101
17592186045461|4709357835345989208|2021-02-02 08:18:41.845
1072|4718365034600728871|2021-02-05 21:48:22.82
4398046512442|4673047563350315297|2021-02-07 00:41:52.195
8796093023581|4694439661580323001|2021-02-07 21:19:46.978
17592186045555|4684588037395450118|2021-02-11 06:24:20.062
8796093022511|106679016173339862|2021-02-23 04:47:08.631
13194139533824|81346268269380873|2021-02-24 12:54:53.582
4398046511113|4713298485019938082|2021-03-02 02:35:47.338
8796093023672|4662351514235310402|2021-03-02 09:21:58.702
17592186044956|4711046685206253441|2021-03-05 00:14:19.239
17592186044720|4702883910881640839|2021-03-06 08:20:34.485
13194139533617|4687965737115978693|2021-03-09 19:15:49.704
8796093023326|4682054762605053214|2021-03-12 00:18:21.593
21990232556375|62768919806477606|2021-03-12 18:58:26.72
240|115686215428080344|2021-03-15 00:08:31.928
4398046512586|85849867896750807|2021-03-16 03:33:40.646
4398046511113|4733283208366391496|2021-03-17 16:41:32.322
17592186044834|88383142687147786|2021-03-18 07:19:38.842
13194139534731|4675862313117419332|2021-03-19 04:39:21.615
13194139534589|4724557484088364778|2021-03-20 20:29:41.101
17592186045314|4715550284833623613|2021-03-23 02:26:12.654
21990232555791|4719209459530860577|2021-03-23 14:39:23
21990232556487|4714424384926778737|2021-03-24 18:42:36.248
21990232556039|4696972936370719220|2021-03-25 01:58:01.227
21990232557009|4705698660648750510|2021-03-27 21:40:24.595
13194139534731|4675862313117419332|2021-03-28 09:18:13.481
4398046511261|103301316452810984|2021-03-29 06:47:49.117
21990232556190|95138542128202619|2021-03-29 15:38:02.234
8796093023141|4659536764468199926|2021-03-31 05:26:46.514
4398046511990|4709076360369275677|2021-04-02 23:27:11.379
13194139533810|4738912707900606664|2021-04-06 05:26:46.633
13194139533810|4738912707900606664|2021-04-09 04:53:06.237
17592186045277|4716676184740463002|2021-04-10 09:23:36.498
1072|4718365034600728871|2021-04-12 13:48:30.635
17592186044582|4731031408552707426|2021-04-12 15:18:26.101
4398046511113|4733283208366391496|2021-04-13 04:17:01.372
21990232556136|4660944139351754967|2021-04-14 19:47:16.242
13194139534083|4724838959065074082|2021-04-16 01:44:34.068
13194139533470|4736942383063630066|2021-04-20 05:56:09.118
13194139533824|81346268269380873|2021-04-23 11:54:22.543
17592186044457|4730468458599285253|2021-04-24 00:20:18.335
17592186045277|4716676184740463002|2021-04-25 08:07:59.362
4398046511894|126382264543086361|2021-04-27 13:24:53.034
13194139533344|4734127633296523694|2021-04-27 21:33:59.669
8796093022601|41658296553178793|2021-04-28 05:04:29.202
21990232556871|4745668107341661238|2021-04-28 08:41:13.151
21990232556039|4696972936370719220|2021-04-29 01:51:53.545
8796093023440|131167339147165700|2021-04-30 14:47:50.404
4398046511113|4713298485019938082|2021-05-01 01:04:42.755
21990232556281|4698943261207693414|2021-05-01 05:10:18.65
21990232556871|4745668107341661238|2021-05-01 15:24:38.734
21990232556190|95138542128202619|2021-05-02 01:39:46.097
8796093022674|74309393851615270|2021-05-05 16:33:48.403
17592186045314|4715550284833623613|2021-05-05 21:26:48.391
21990232556871|4745668107341661238|2021-05-07 06:28:32.481
26388279066796|131167339147167093|2021-05-07 22:40:45.12
8796093022291|85849867896750807|2021-05-08 03:29:17.62
8796093023440|131167339147165700|2021-05-08 15:48:55.913
21990232555661|4687684262139268905|2021-05-09 11:59:53.914
17592186044720|4702883910881640839|2021-05-10 12:55:40.255
21990232556136|4660944139351754967|2021-05-10 14:35:28.029
26388279068022|4686558362232426560|2021-05-10 16:08:26.969
8796093023672|4662351514235310402|2021-05-13 22:26:13.177
13194139533617|4687965737115978693|2021-05-14 22:21:17.695
21990232556039|4696972936370719220|2021-05-15 09:53:28.368
17592186045333|81064793292670876|2021-05-16 09:18:19.981
21990232556252|4667981013769523210|2021-05-17 12:40:18.965
21990232556008|68679894317400859|2021-05-18 00:16:56.843
17592186044457|4730468458599285253|2021-05-18 13:44:36.43
633|4749608757015611473|2021-05-19 17:34:13.506
17592186044834|88383142687147786|2021-05-21 08:32:14.865
26388279066796|131167339147167093|2021-05-22 01:47:57.866
13194139534083|4724838959065074082|2021-05-23 00:57:44.249
26388279066646|128915539333481920|2021-05-24 21:55:25.869
26388279066949|4751016131899163088|2021-05-25 10:26:10.297
