loanId|accountId|amount|createTime
45035996273705071|54606145481867469|4229484.729209837|2020-07-18 01:17:39.477
4654188739910697745|4664321839072281832|64211511.37351315|2020-08-09 04:37:33.447
4655596114794251858|4644618590702537274|39894986.442947134|2020-09-01 11:28:20.88
4655596114794251858|4644618590702537274|13551913.651320737|2020-09-01 13:53:13.49
24769797950538634|23925373020407211|2496986.0722171795|2020-09-14 07:33:12.026
4675299363163997016|4675299363163997546|2490302.286978708|2020-10-13 01:20:32.922
4693313761673478734|4681773287628342191|5662683.269919724|2020-10-20 08:58:38.454
4640396466051875090|4683743612465316220|52292283.70762177|2020-10-22 22:33:06.615
4675017888187285518|4667699538792808461|869370.1506446827|2020-10-25 13:38:05.063
4616471093031471711|4678114112931107073|42704734.691896|2020-11-10 09:01:13.254
4633078116657399306|4658692339538069980|65276.16639602835|2020-11-15 09:58:21.672
74027918874902872|77687093572141600|1480124.77834253|2020-11-16 08:37:21.116
4649966615260039618|4657847914607939568|22618515.881852925|2020-11-23 19:07:16.275
79938893385827118|81064793292670219|593720.6035604494|2020-11-24 08:59:08.859
91479367430963656|90634942500831977|1559682.0993062325|2020-11-28 00:07:24.656
79938893385827118|18014398509483274|12987020.93567975|2020-11-28 15:56:44.21
4649966615260037582|4647433340469641974|432607.23301603546|2020-12-07 21:20:42.186
74590868828324966|89227567617279710|7006300.387265582|2020-12-11 02:49:13.047
4638989091168323203|4667418063816100515|163113.78031446078|2020-12-14 16:59:10.583
77687093572141964|23925373020407211|31811575.140527815|2020-12-17 19:44:51.862
4688528687069397066|4695284086510452819|833008.1407040571|2020-12-19 21:45:37.313
68398419340689866|90634942500831977|1061111.2696042839|2020-12-20 06:05:17.885
77687093572141964|23925373020407211|74208082.6242239|2020-12-22 10:30:30.548
4694158186603612268|4704291285765197238|43169120.546483174|2020-12-23 14:15:36.547
4664884789025703244|4689654586976241846|24519625.99646559|2020-12-25 14:07:43.305
4622945017495815822|4705417185672039100|36744491.4644981|2021-01-01 16:23:14.154
4643211215818981652|4667981013769519493|15708690.025604403|2021-01-02 00:30:03.982
4622945017495815822|4684306562418739899|1796279.5611488672|2021-01-07 16:20:18.672
83879543059775712|97953291895308657|492710.93353763083|2021-01-10 05:40:56.806
4638989091168323203|4667418063816100515|8251352.015099292|2021-01-24 21:11:32.071
4664884789025703244|4689654586976241846|1564991.1872761655|2021-01-26 21:57:00.248
4667699538792809002|4688528687069397895|2319562.1596320975|2021-01-30 07:42:39.634
74027918874902872|77687093572141600|6835225.084214669|2021-02-03 21:26:28.783
4710765210229539473|4708513410415854635|25633868.486451775|2021-02-06 13:01:43.655
74590868828324966|50665495807919839|1294449.1657258521|2021-02-06 14:37:26.305
4693313761673478734|4669388388653073326|24357606.554247424|2021-02-07 12:08:51.46
